"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11 de jan. de 2022","6,3287","6,4143","6,4350","6,3249","136,31K","-1,32%"
"10 de jan. de 2022","6,4131","6,4008","6,4452","6,3749","116,18K","0,18%"
"07 de jan. de 2022","6,4014","6,4188","6,4559","6,3819","114,97K","-0,24%"
"06 de jan. de 2022","6,4171","6,4594","6,4770","6,4042","146,90K","-0,64%"
"05 de jan. de 2022","6,4583","6,4081","6,4735","6,3956","129,61K","0,81%"
"04 de jan. de 2022","6,4065","6,4199","6,4468","6,3685","129,71K","-0,16%"
"03 de jan. de 2022","6,4170","6,3321","6,4210","6,3066","102,47K","1,34%"
"31 de dez. de 2021","6,3323","6,3081","6,3440","6,2972","25,74K","0,39%"
"30 de dez. de 2021","6,3075","6,4737","6,4797","6,2689","117,72K","-2,54%"
"29 de dez. de 2021","6,4720","6,3664","6,4805","6,3453","96,37K","1,68%"
"28 de dez. de 2021","6,3650","6,3719","6,4138","6,3559","102,16K","-0,09%"
"27 de dez. de 2021","6,3708","6,4233","6,4538","6,3683","95,79K","-0,80%"
"24 de dez. de 2021","6,4224","6,4302","6,4384","6,4148","47,10K","-0,09%"
"23 de dez. de 2021","6,4285","6,4040","6,4757","6,3626","123,59K","0,40%"
"22 de dez. de 2021","6,4026","6,4804","6,4972","6,3998","120,82K","-1,23%"
"21 de dez. de 2021","6,4822","6,4758","6,4948","6,4504","133,59K","0,13%"
"20 de dez. de 2021","6,4741","6,4036","6,4809","6,3991","153,93K","1,14%"
"17 de dez. de 2021","6,4011","6,4456","6,4770","6,3818","135,48K","-0,66%"
"16 de dez. de 2021","6,4438","6,4114","6,4852","6,3984","146,77K","0,52%"
"15 de dez. de 2021","6,4106","6,3974","6,4543","6,3773","188,52K","0,23%"
"14 de dez. de 2021","6,3957","6,4104","6,4344","6,3527","222,13K","-0,21%"
"13 de dez. de 2021","6,4092","6,3521","6,4145","6,3165","135,51K","0,96%"
"10 de dez. de 2021","6,3485","6,2936","6,3642","6,2636","156,76K","0,89%"
"09 de dez. de 2021","6,2927","6,2757","6,3228","6,2409","147,05K","0,28%"
"08 de dez. de 2021","6,2752","6,3245","6,3650","6,2619","215,49K","-0,76%"
"07 de dez. de 2021","6,3234","6,4219","6,4298","6,3187","229,08K","-1,51%"
"06 de dez. de 2021","6,4201","6,3966","6,4373","6,3628","167,81K","0,38%"
"03 de dez. de 2021","6,3955","6,3813","6,4333","6,3310","183,83K","0,25%"
"02 de dez. de 2021","6,3796","6,4476","6,4616","6,3477","184,06K","-1,04%"
"01 de dez. de 2021","6,4467","6,3775","6,4485","6,3142","200,90K","1,12%"
"30 de nov. de 2021","6,3753","6,3263","6,3958","6,3215","220,31K","0,81%"
